"alternative.id","review_issue_id","nbr_comments","nbr_comments_nobot"
"10.21105/joss.05268","5268",83,58
"10.21105/joss.05269","5269",43,23
"10.21105/joss.05710","5710",54,32
"10.21105/joss.05673","5673",64,43
"10.21105/joss.05704","5704",50,27
"10.21105/joss.05776","5776",42,24
"10.21105/joss.04740","4740",79,45
"10.21105/joss.05267","5267",72,45
"10.21105/joss.05293","5293",46,23
"10.21105/joss.04533","4533",54,36
"10.21105/joss.04944","4944",104,74
"10.21105/joss.05149","5149",59,33
"10.21105/joss.05160","5160",99,66
"10.21105/joss.05472","5472",68,47
"10.21105/joss.04874","4874",66,45
"10.21105/joss.05143","5143",83,54
"10.21105/joss.05595","5595",74,49
"10.21105/joss.05430","5430",50,32
"10.21105/joss.05947","5947",51,30
"10.21105/joss.05793","5793",52,29
"10.21105/joss.05177","5177",65,40
"10.21105/joss.05451","5451",79,53
"10.21105/joss.04947","4947",68,45
"10.21105/joss.05174","5174",67,39
"10.21105/joss.05294","5294",85,54
"10.21105/joss.05504","5504",56,34
"10.21105/joss.04545","4545",86,66
"10.21105/joss.04916","4916",70,44
"10.21105/joss.05040","5040",91,63
"10.21105/joss.04691","4691",59,35
"10.21105/joss.04952","4952",82,54
"10.21105/joss.04915","4915",88,59
"10.21105/joss.04881","4881",64,41
"10.21105/joss.05114","5114",91,56
"10.21105/joss.05074","5074",94,69
"10.21105/joss.05084","5084",62,42
"10.21105/joss.04534","4534",70,52
"10.21105/joss.04775","4775",43,26
"10.21105/joss.04825","4825",79,55
"10.21105/joss.05236","5236",68,43
"10.21105/joss.02006","2006",86,64
"10.21105/joss.04575","4575",91,60
"10.21105/joss.01960","1960",48,33
"10.21105/joss.04622","4622",47,27
"10.21105/joss.03094","3094",67,45
"10.21105/joss.06023","6023",96,62
"10.21105/joss.00413","413",22,20
"10.21105/joss.04708","4708",102,74
"10.21105/joss.00259","259",21,19
"10.21105/joss.05627","5627",38,17
"10.21105/joss.05525","5525",118,94
"10.21105/joss.00569","569",31,24
"10.21105/joss.06275","6275",68,45
"10.21105/joss.00596","596",27,20
"10.21105/joss.03384","3384",74,54
"10.21105/joss.00382","382",35,33
"10.21105/joss.00911","911",38,26
"10.21105/joss.03257","3257",74,51
"10.21105/joss.03675","3675",50,27
"10.21105/joss.05749","5749",77,52
"10.21105/joss.01411","1411",59,41
"10.21105/joss.03611","3611",94,65
"10.21105/joss.05128","5128",82,52
"10.21105/joss.01231","1231",45,29
"10.21105/joss.02106","2106",31,18
"10.21105/joss.02809","2809",114,82
"10.21105/joss.04368","4368",64,42
"10.21105/joss.05187","5187",71,47
"10.21105/joss.06840","6840",59,36
"10.21105/joss.02339","2339",76,52
"10.21105/joss.01900","1900",103,67
"10.21105/joss.00257","257",15,13
"10.21105/joss.05135","5135",93,67
"10.21105/joss.03594","3594",99,73
"10.21105/joss.04722","4722",72,51
"10.21105/joss.01284","1284",44,29
"10.21105/joss.04493","4493",100,76
"10.21105/joss.01249","1249",109,53
"10.21105/joss.00505","505",27,17
"10.21105/joss.01281","1281",17,5
